"State","State_Code","Urban_Rural","sex","Age_Group","disabl_count","disability","pop_count","pop_disabl_perc","age_high","iso_code","state_ut"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","70-79",6,"Speech",2639,0.00227358848048503,79,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","70-79",2,"MenRet",2639,0.000757862826828344,79,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","70-79",76,"Sight",2639,0.0287987874194771,79,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","70-79",61,"Hear",2639,0.0231148162182645,79,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","70-79",78,"Move",2639,0.0295566502463054,79,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","70-79",10,"Other",2639,0.00378931413414172,79,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","70-79",3,"MenIll",2639,0.00113679424024252,79,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","70-79",49,"Mult",2639,0.0185676392572944,79,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","80-89",27,"Move",794,0.0340050377833753,89,"IN-AN","Union territory"
"ANDAMAN & NICOBAR ISLANDS","35","Rural","M","80-89",28,"Mult",794,0.035264483627204,89,"IN-AN","Union territory"
